,Rank,Name,Score
0,1,Fullmetal Alchemist: Brotherhood,9.23
1,2,Steins;Gate,9.13
2,3,GintamaÂ°,9.12
3,4,Hunter x Hunter (2011),9.12
4,5,Ginga Eiyuu Densetsu,9.11
5,6,Gintama',9.10
6,7,Shingeki no Kyojin Season 3 Part 2,9.08
7,8,Kimi no Na wa.,9.07
8,9,Gintama': Enchousen,9.05
9,10,3-gatsu no Lion 2nd Season,9.03
10,11,Koe no Katachi,9.02
11,12,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.99
12,13,Gintama.,8.99
13,14,Clannad: After Story,8.98
14,15,Gintama,8.98
15,16,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.95
16,17,Owarimonogatari 2nd Season,8.95
17,18,Code Geass: Hangyaku no Lelouch R2,8.92
18,19,Mob Psycho 100 II,8.89
19,20,Sen to Chihiro no Kamikakushi,8.87
20,21,Kimetsu no Yaiba,8.84
21,22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.83
22,23,Haikyuu!! Second Season,8.83
23,24,Kizumonogatari III: Reiketsu-hen,8.83
24,25,Shigatsu wa Kimi no Uso,8.82
25,26,Made in Abyss,8.81
26,27,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.81
27,28,Cowboy Bebop,8.79
28,29,Gintama.: Shirogane no Tamashii-hen,8.79
29,30,Mushishi Zoku Shou 2nd Season,8.79
30,31,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.78
31,32,Monogatari Series: Second Season,8.78
32,33,Vinland Saga,8.78
33,34,Hajime no Ippo,8.77
34,35,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.76
35,36,Mononoke Hime,8.76
36,37,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.75
37,38,Code Geass: Hangyaku no Lelouch,8.74
38,39,Mushishi Zoku Shou,8.74
39,40,Great Teacher Onizuka,8.71
40,41,Monster,8.71
41,42,Mushishi,8.71
42,43,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.71
43,44,Hajime no Ippo: New Challenger,8.70
44,45,Natsume Yuujinchou Shi,8.70
45,46,Tengen Toppa Gurren Lagann,8.70
46,47,Howl no Ugoku Shiro,8.69
47,48,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.69
48,49,Natsume Yuujinchou Roku,8.69
49,50,Ookami Kodomo no Ame to Yuki,8.69
